Data,classes,[beforeTest, beforeTestInterfaceAsField, beforetest2, beforeSubfolder2, afterAliasOfInt, afterRenderingOptionSlice, afterparserRenderingOption, afterMyType, afterBar, afterFoo, afterAlias, afterClassDiagramOptions, afterClassParser, afterField, afterFunction, afterLineStringBuilder, afterRenderingOptions, afterStruct, afterAliasSlice, afterRenderingOption, afterTest, afterTestInterfaceAsField, aftertest2, afterSubfolder2, afterSubfolderInterface, aftertest, afterTestComplicatedAlias, aftermyInt, afterDuration, afterBuilder, beforeBar, beforeFoo, beforeAlias, beforeClassDiagramOptions, beforeClassParser, beforeField, beforeFunction, beforeLineStringBuilder, beforeRenderingOptions, beforeStruct, beforeAliasSlice, beforeRenderingOption, beforeAbstractInterface, beforeImplementsAbstractInterface, beforeAliasOfInt, beforeRenderingOptionSlice, beforeparserRenderingOption, beforeMyType, beforeSubfolderInterface, beforetest, beforeTestComplicatedAlias, beforemyInt, beforeDuration, beforeBuilder, afterAbstractInterface, afterImplementsAbstractInterface]
total,classes,56
before_nodes,before-metrics,28
before_classes,before-metrics,20
before_abstracts,before-metrics,0
after_nodes,after-metrics,28
after_classes,after-metrics,20
after_abstracts,after-metrics,0
deleted_nodes,general-metrics,0
added_nodes,general-metrics,0
deleted_classes,general-metrics,0
added_classes,general-metrics,0
deleted_abstracts,general-metrics,0
added_abstracts,general-metrics,0
base_class_change,general-metrics,0
added_relationships,general-metrics,0
deleted_relationships,general-metrics,0
inheritance_to_composition,general-metrics,0
composition_to_inheritance,general-metrics,0
class_to_abs,general-metrics,0
abs_to_class,general-metrics,0
beforeTest,abstracts_deps_count,0
beforeTest,concrete_deps_count,0
beforeTest,afferent_count,0
beforeTest,efferent_count,0
beforeTest,instability_class,0
beforeTestInterfaceAsField,abstracts_deps_count,0
beforeTestInterfaceAsField,concrete_deps_count,0
beforeTestInterfaceAsField,afferent_count,1
beforeTestInterfaceAsField,efferent_count,0
beforeTestInterfaceAsField,instability_class,0.0
Data,composition,beforetest2 --> beforeTestInterfaceAsField
beforetest2,abstracts_deps_count,0
beforetest2,concrete_deps_count,0
beforetest2,afferent_count,1
beforetest2,efferent_count,1
beforetest2,instability_class,0.5
Data,inheritance,beforeSubfolder2 --> beforeSubfolderInterface
beforeSubfolder2,abstracts_deps_count,0
beforeSubfolder2,concrete_deps_count,0
beforeSubfolder2,afferent_count,0
beforeSubfolder2,efferent_count,1
beforeSubfolder2,instability_class,1.0
afterAliasOfInt,abstracts_deps_count,0
afterAliasOfInt,concrete_deps_count,0
afterAliasOfInt,afferent_count,1
afterAliasOfInt,efferent_count,0
afterAliasOfInt,instability_class,0.0
afterRenderingOptionSlice,abstracts_deps_count,0
afterRenderingOptionSlice,concrete_deps_count,0
afterRenderingOptionSlice,afferent_count,0
afterRenderingOptionSlice,efferent_count,0
afterRenderingOptionSlice,instability_class,0
afterparserRenderingOption,abstracts_deps_count,0
afterparserRenderingOption,concrete_deps_count,0
afterparserRenderingOption,afferent_count,0
afterparserRenderingOption,efferent_count,0
afterparserRenderingOption,instability_class,0
Data,composition,afterMyType --> afterDuration
afterMyType,abstracts_deps_count,0
afterMyType,concrete_deps_count,0
afterMyType,afferent_count,0
afterMyType,efferent_count,1
afterMyType,instability_class,1.0
afterBar,abstracts_deps_count,0
afterBar,concrete_deps_count,0
afterBar,afferent_count,0
afterBar,efferent_count,0
afterBar,instability_class,0
afterFoo,abstracts_deps_count,0
afterFoo,concrete_deps_count,0
afterFoo,afferent_count,0
afterFoo,efferent_count,0
afterFoo,instability_class,0
afterAlias,abstracts_deps_count,0
afterAlias,concrete_deps_count,0
afterAlias,afferent_count,0
afterAlias,efferent_count,0
afterAlias,instability_class,0
afterClassDiagramOptions,abstracts_deps_count,0
afterClassDiagramOptions,concrete_deps_count,0
afterClassDiagramOptions,afferent_count,0
afterClassDiagramOptions,efferent_count,0
afterClassDiagramOptions,instability_class,0
afterClassParser,abstracts_deps_count,0
afterClassParser,concrete_deps_count,0
afterClassParser,afferent_count,0
afterClassParser,efferent_count,0
afterClassParser,instability_class,0
afterField,abstracts_deps_count,0
afterField,concrete_deps_count,0
afterField,afferent_count,0
afterField,efferent_count,0
afterField,instability_class,0
afterFunction,abstracts_deps_count,0
afterFunction,concrete_deps_count,0
afterFunction,afferent_count,0
afterFunction,efferent_count,0
afterFunction,instability_class,0
Data,composition,afterLineStringBuilder --> afterBuilder
afterLineStringBuilder,abstracts_deps_count,0
afterLineStringBuilder,concrete_deps_count,0
afterLineStringBuilder,afferent_count,0
afterLineStringBuilder,efferent_count,1
afterLineStringBuilder,instability_class,1.0
afterRenderingOptions,abstracts_deps_count,0
afterRenderingOptions,concrete_deps_count,0
afterRenderingOptions,afferent_count,0
afterRenderingOptions,efferent_count,0
afterRenderingOptions,instability_class,0
afterStruct,abstracts_deps_count,0
afterStruct,concrete_deps_count,0
afterStruct,afferent_count,0
afterStruct,efferent_count,0
afterStruct,instability_class,0
afterAliasSlice,abstracts_deps_count,0
